...1,web_name,gameweek,event_points,next_gw_points,total_points,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,correct_as_of_time
69,Sánchez,1,2,6,2,NA,NA,215059,0,0,0,0,0,1,2.3,2.3,Robert,2,69,FALSE,NA,NA,4.5,215059.jpg,2,Sánchez,24.2,FALSE,NA,a,4,36,45612,45612,41230,41230,0.4,0.4,90,0,0,0,1,0,0,0,0,0,2,0,19,20,10,0,3,91,13,122,1,318,37,135,4,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
70,Bissouma,1,2,3,2,NA,NA,227127,0,0,0,0,0,3,1.5,1.5,Yves,2,70,FALSE,NA,NA,4.5,227127.jpg,2,Bissouma,12.8,FALSE,NA,a,4,36,53482,53482,49402,49402,0.4,0.4,90,0,0,0,1,0,0,0,0,0,0,0,14,7.6,5.2,0,1.3,180,73,137,81,335,131,212,101,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
71,Lamptey,1,0,0,0,0,0,232792,0,0,0,0,0,2,0,0,Tariq,0,71,FALSE,Hamstring injury - Expected back 11 Sep,2021-07-27T10:00:07Z,4.5,232792.jpg,0,Lamptey,0.5,FALSE,NA,i,4,36,608,608,7156,7156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,156,389,156,343,138,401,156,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
72,Connolly,1,0,0,0,NA,NA,233425,0,0,0,0,0,4,2.1,2.1,Aaron,0,72,FALSE,NA,NA,5.5,233425.jpg,0,Connolly,0.2,FALSE,NA,a,4,36,1669,1669,3141,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,59,519,62,511,58,522,62,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
73,Alzate,1,2,0,2,NA,NA,235382,0,0,0,0,0,3,1.9,1.9,Steven,2,73,FALSE,NA,NA,5,235382.jpg,2,Alzate,0.1,FALSE,NA,a,4,36,570,570,577,577,0.4,0.4,71,0,0,0,1,0,0,0,0,0,0,0,12,10.4,24.1,2,3.7,162,65,44,29,164,87,118,66,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
74,Mac Allister,1,9,4,9,NA,NA,243016,0,0,0,0,0,3,2.4,2.4,Alexis,9,74,FALSE,NA,NA,5.5,243016.jpg,9,Mac Allister,0.5,FALSE,NA,a,4,36,12030,12030,2543,2543,1.6,1.6,14,1,0,0,0,0,0,0,0,0,0,3,28,38.2,0.4,17,5.6,24,13,229,126,75,44,64,37,4,NA,5,NA,NA,NA,2021-08-20T17:10:45Z
75,Moder,1,4,1,4,NA,NA,243505,0,0,0,0,0,3,1.5,1.5,Jakub,4,75,FALSE,NA,NA,4.5,243505.jpg,4,Moder,0.9,FALSE,NA,a,4,36,37243,37243,7456,7456,0.9,0.9,18,0,1,0,0,0,0,0,0,0,0,0,13,21.2,10.8,19,5.1,83,32,115,70,65,39,75,45,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
76,Jansson,1,6,2,6,NA,NA,61810,0,0,0,0,0,2,1.2,0.7,Pontus,6,76,FALSE,NA,NA,4.5,61810.jpg,6,Jansson,0.7,FALSE,NA,a,3,94,9482,9482,3127,3127,1.3,1.3,90,0,0,1,0,0,0,0,0,0,0,0,22,10.8,0,0,1.1,158,63,313,118,251,92,222,76,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
77,Nørgaard,1,8,2,8,NA,NA,128295,0,0,0,0,0,3,0.9,0.4,Christian,8,77,FALSE,NA,NA,5,128295.jpg,8,Nørgaard,1.1,FALSE,NA,a,3,94,51344,51344,9665,9665,1.6,1.6,90,1,0,1,0,0,0,0,0,0,0,0,25,38.4,1.8,40,8,23,12,171,103,25,14,34,19,NA,NA,NA,NA,NA,NA,2021-08-20T17:10:45Z
78,Toney,1,2,2,2,NA,NA,144485,0,0,0,0,0,4,1.6,1.1,Ivan,2,78,FALSE,NA,NA,6.5,144485.jpg,2,Toney,29.7,FALSE,NA,a,3,94,113422,113422,114029,114029,0.3,0.3,90,0,0,1,0,0,0,0,0,0,0,0,4,6.2,15.8,4,2.6,200,17,74,8,145,27,154,20,NA,NA,2,NA,1,NA,2021-08-20T17:10:45Z
